fold_month,fold_start,fold_end,horizon,n_test,rmse_xgb,rmse_persistence,skill
2021-06,2021-06-01,2021-06-30,3,29,3.706553478153662,4.299157896692055,0.1378419757493361
2021-06,2021-06-01,2021-06-30,4,29,5.0814434927448575,5.229228201771931,0.028261285093084343
2021-06,2021-06-01,2021-06-30,5,29,4.5818691419732795,5.3207466419278235,0.13886725861595106
2021-06,2021-06-01,2021-06-30,6,29,4.214707376809358,6.048653312643379,0.30319904961333466
2021-06,2021-06-01,2021-06-30,7,29,4.56109724978539,5.997125748338058,0.2394527910225368
2021-07,2021-07-01,2021-07-31,1,26,6.885300414189865,6.366982137438548,-0.08140721389864569
2021-07,2021-07-01,2021-07-31,2,26,13.856877906786725,14.177446878757825,0.02261119189601135
2021-07,2021-07-01,2021-07-31,3,26,13.641543217929856,14.524515085245994,0.06079183106175168
2021-07,2021-07-01,2021-07-31,4,26,12.749840514949971,14.105372680703564,0.09610041481626275
2021-07,2021-07-01,2021-07-31,5,26,16.25425192399327,13.817491701574383,-0.17635329733118188
2021-07,2021-07-01,2021-07-31,6,26,12.326517154318505,10.855696838349616,-0.13548833740206923
2021-07,2021-07-01,2021-07-31,7,26,12.743633263768062,13.82583979922544,0.07827419897618126
2021-08,2021-08-01,2021-08-31,1,27,18.328916404510522,19.74185251542369,0.07157059398601451
2021-08,2021-08-01,2021-08-31,2,27,17.464187707934002,24.43055160760501,0.2851496769930665
2021-08,2021-08-01,2021-08-31,3,27,18.290558819550895,22.26856279351878,0.17863766112133983
2021-08,2021-08-01,2021-08-31,4,27,19.972398268543344,21.955341879302107,0.09031713656110896
2021-08,2021-08-01,2021-08-31,5,27,19.569844147571235,23.933549983544328,0.18232589143580402
2021-08,2021-08-01,2021-08-31,6,27,20.69012988804021,26.29180973724059,0.2130579790886732
2021-08,2021-08-01,2021-08-31,7,27,18.212548486997644,26.324189692428575,0.30814400367901995
2021-09,2021-09-01,2021-09-30,1,27,7.382128008510416,6.353768202442577,-0.16185038127020546
2021-09,2021-09-01,2021-09-30,2,27,7.698095370808633,8.844332774281067,0.1296013427723618
2021-09,2021-09-01,2021-09-30,3,27,11.986375944817372,10.406550643527195,-0.15181065805630967
2021-09,2021-09-01,2021-09-30,4,27,8.999030356909042,11.451993195428827,0.21419527558738927
2021-09,2021-09-01,2021-09-30,5,27,9.337385934065512,11.996913183228672,0.22168429566374626
2021-09,2021-09-01,2021-09-30,6,27,9.108585453668676,12.17313374547348,0.2517468678058632
2021-09,2021-09-01,2021-09-30,7,27,7.797301579861477,11.84780023339229,0.3418776965967686
2021-10,2021-10-01,2021-10-31,1,29,8.55988181224908,9.994826247821317,0.1435687224562836
2021-10,2021-10-01,2021-10-31,2,29,8.29283728454278,10.512718077610108,0.21116145003405073
2021-10,2021-10-01,2021-10-31,3,29,8.150277322184971,10.46010483233549,0.22082259663498904
2021-10,2021-10-01,2021-10-31,4,29,7.797271600252976,9.454063165900024,0.1752465089955132
2021-10,2021-10-01,2021-10-31,5,29,9.35693040861289,9.69891568770661,0.03526015588806353
2021-10,2021-10-01,2021-10-31,6,29,8.487043893394404,10.213243599737853,0.1690158165215756
2021-10,2021-10-01,2021-10-31,7,29,7.852348177527509,10.592775677400336,0.2587072154958896
2021-11,2021-11-01,2021-11-30,1,28,8.76427985440179,4.187566630599958,-1.0929290510527636
2021-11,2021-11-01,2021-11-30,2,28,7.152713366682494,5.1512827806007975,-0.3885305216826531
2021-11,2021-11-01,2021-11-30,3,28,7.345388951594698,4.543441112511214,-0.6167016958507059
2021-11,2021-11-01,2021-11-30,4,28,7.883590655666776,5.60930349636082,-0.40544911873309375
2021-11,2021-11-01,2021-11-30,5,28,7.173633326423734,5.958187643906492,-0.20399587175813316
2021-11,2021-11-01,2021-11-30,6,28,7.776101999725266,6.527414714658695,-0.19129890464326982
2021-11,2021-11-01,2021-11-30,7,28,8.297892725448504,7.040698017343775,-0.17856108939877902
2021-12,2021-12-01,2021-12-31,1,31,11.717222151952152,11.610618054733488,-0.009181604003863031
2021-12,2021-12-01,2021-12-31,2,31,13.326598616019446,14.385252304737923,0.07359298719910523
2021-12,2021-12-01,2021-12-31,3,31,14.91690906274148,15.277012036854378,0.02357155792272625
2021-12,2021-12-01,2021-12-31,4,31,14.966616495248806,18.802882414586712,0.2040254166755756
2021-12,2021-12-01,2021-12-31,5,31,14.029703354321265,20.75587751970278,0.3240611802125257
2021-12,2021-12-01,2021-12-31,6,31,17.29956657821983,20.037062433593952,0.13662161628964442
2021-12,2021-12-01,2021-12-31,7,31,14.271929670083768,17.967712978490592,0.20569024632300725
2022-01,2022-01-01,2022-01-31,1,30,8.893257722986547,7.035623639735144,-0.2640326115171978
2022-01,2022-01-01,2022-01-31,2,30,12.282370177001093,10.142320576015464,-0.211001967936846
2022-01,2022-01-01,2022-01-31,3,30,10.925225582666975,12.890565025113006,0.1524634054920957
