fold_month,fold_start,fold_end,horizon,n_origins_valid,rmse_sarima,rmse_persistence,skill
2021-09,2021-09-01,2021-09-30,7,24,7.825425192967945,10.778064142816495,0.27394891241359554
2021-10,2021-10-01,2021-10-31,1,31,7.981528515850667,9.683707634392269,0.17577762390266827
2021-10,2021-10-01,2021-10-31,2,31,8.18232265916956,10.199620486298308,0.19778165568402184
2021-10,2021-10-01,2021-10-31,3,31,8.035337483892883,10.12024480132322,0.20601352619036806
2021-10,2021-10-01,2021-10-31,4,31,8.138331934150973,9.179219167016823,0.11339605405719178
2021-10,2021-10-01,2021-10-31,5,30,8.39855967691442,9.626352718795768,0.12754498798740688
2021-10,2021-10-01,2021-10-31,6,30,8.760875537087204,9.998333194421292,0.12376639518520394
2021-10,2021-10-01,2021-10-31,7,30,8.924110191976283,10.340857475728662,0.1370048167743989
2021-11,2021-11-01,2021-11-30,1,26,5.340646786027256,4.269750488116282,-0.25081004168546395
2021-11,2021-11-01,2021-11-30,2,26,7.430092971268694,5.331329751860873,-0.39366599274322844
2021-11,2021-11-01,2021-11-30,3,26,8.222753294944303,4.502136245076416,-0.8264114738723851
2021-11,2021-11-01,2021-11-30,4,26,8.812447534960302,5.690748227132825,-0.5485569178660161
2021-11,2021-11-01,2021-11-30,5,27,8.904835123606532,5.947299418254505,-0.49729053430103654
2021-11,2021-11-01,2021-11-30,6,27,9.1356848052041,5.919209156385423,-0.5433961807801406
2021-11,2021-11-01,2021-11-30,7,27,9.030016991629648,7.128451081042418,-0.26675723645551863
2021-12,2021-12-01,2021-12-31,1,30,11.086977788252968,11.480418110852932,0.034270556943220454
2021-12,2021-12-01,2021-12-31,2,30,12.465515382915774,14.5728057239046,0.14460429795836216
2021-12,2021-12-01,2021-12-31,3,30,13.360581312904117,14.699206327780649,0.09106784305398918
2021-12,2021-12-01,2021-12-31,4,30,14.043092077657537,17.246255632262134,0.1857309564989006
2021-12,2021-12-01,2021-12-31,5,30,14.197287572944148,20.118813748992924,0.2943277993388247
2021-12,2021-12-01,2021-12-31,6,30,14.081452663825448,19.652819984249927,0.28348945977673734
2021-12,2021-12-01,2021-12-31,7,30,14.513822922982781,19.08489804356663,0.2395126822343555
2022-01,2022-01-01,2022-01-31,1,30,7.295499767543578,7.035623639735144,-0.03693718440832017
2022-01,2022-01-01,2022-01-31,2,30,8.509239923142593,10.142320576015464,0.16101646961690175
2022-01,2022-01-01,2022-01-31,3,30,8.861693664646285,12.890565025113006,0.3125442021057879
2022-01,2022-01-01,2022-01-31,4,30,9.283966699910831,14.329456840136451,0.352106168190083
2022-01,2022-01-01,2022-01-31,5,30,8.906418404937497,14.88399587924336,0.40161106753878906
2022-01,2022-01-01,2022-01-31,6,30,8.140007268102034,14.668560483792083,0.4450711590209364
2022-01,2022-01-01,2022-01-31,7,30,7.790961632503088,14.726393539039579,0.47095250362220076
2022-02,2022-02-01,2022-02-28,1,28,6.9160798338958624,8.152563137706185,0.15166804389303035
2022-02,2022-02-01,2022-02-28,2,28,7.4638494976118706,9.978548420057326,0.25201049457161506
2022-02,2022-02-01,2022-02-28,3,28,7.113954211943008,10.173494974687902,0.3007364499965022
2022-02,2022-02-01,2022-02-28,4,28,6.3822675458852975,8.68084920138248,0.2647876494768645
2022-02,2022-02-01,2022-02-28,5,28,6.64123065956774,8.12403840463596,0.18252101617614958
2022-02,2022-02-01,2022-02-28,6,28,7.274719589953112,9.40174755792013,0.22623751115027413
2022-02,2022-02-01,2022-02-28,7,28,7.786746056925207,9.287087810503355,0.16155136940573733
2022-03,2022-03-01,2022-03-31,1,22,44.385949488335,48.32465961879843,0.0815051810304166
2022-03,2022-03-01,2022-03-31,2,21,55.94497079019964,75.01745828551543,0.25424065185901346
2022-03,2022-03-01,2022-03-31,3,21,55.976882840093005,79.64863314523835,0.29720221641443845
2022-03,2022-03-01,2022-03-31,4,20,56.73629338211975,81.0968556727078,0.3003884933455727
2022-03,2022-03-01,2022-03-31,5,19,58.070205117688715,82.82384604499003,0.29887094248020196
2022-03,2022-03-01,2022-03-31,6,19,57.873354923151965,82.23458102154758,0.29624065442751324
2022-03,2022-03-01,2022-03-31,7,18,59.348194988730235,85.79756536302311,0.308276467547551
2022-04,2022-04-01,2022-04-30,1,27,5.629725030439803,5.849976258261415,0.03764993533274086
2022-04,2022-04-01,2022-04-30,2,26,6.272707568990871,7.0819380224516335,0.11426680816681622
2022-04,2022-04-01,2022-04-30,3,26,6.014428718202194,7.043818894277778,0.1461409203623668
2022-04,2022-04-01,2022-04-30,4,26,6.488548709089396,7.827466433606136,0.171053780412048
2022-04,2022-04-01,2022-04-30,5,26,6.210153523110374,7.615773105863909,0.18456689336913823
2022-04,2022-04-01,2022-04-30,6,26,6.196447831536717,8.894682940689039,0.3033537144768984
2022-04,2022-04-01,2022-04-30,7,26,6.252103703002771,8.890357784614832,0.2967545452644976
2022-05,2022-05-01,2022-05-31,1,31,6.024890725697682,6.428264201568048,0.06274998401154253
2022-05,2022-05-01,2022-05-31,2,31,7.681977162176687,9.1104335791443,0.1567934615359745
2022-05,2022-05-01,2022-05-31,3,31,7.80737634836666,9.53600985061193,0.1812742991382651
2022-05,2022-05-01,2022-05-31,4,31,7.718588864858625,9.881556622836433,0.21888937548353016
